101	"acre"	5.53	1.71	19	2.73	1.7	22
102	"acreage"	5.25	1.74	20	3.74	2	23
103	"acrobat"	6	1.3	20	4.9	2.14	21
104	"acrylic"	5.52	1.81	25	3.73	2.31	26
105	"act"	5.64	1.71	22	4.19	2.29	21
106	"action"	6	1.64	18	6.19	2.56	21
107	"action figure"	6.18	1.85	17	4.65	2.39	20
108	"activate"	5.7	1.77	40	3.78	2.54	23
109	"activation"	6.14	1.53	21	3.52	2.33	23
110	"active"	6.47	1.35	19	5.62	2.09	21
111	"activist"	6.24	1.84	21	5.26	2.33	19
112	"activity"	6.21	1.75	19	4.86	2.48	21
113	"actor"	6.15	1.27	20	4.35	2.28	20
114	"actress"	5.42	1.22	19	5.43	2.18	21
115	"actual"	6.22	1.48	18	2.75	1.94	20
116	"actuality"	5.4	1.47	20	5.55	2.28	20
117	"acupuncture"	4.81	2.23	21	4.9	2.63	20
118	"acute"	5.1	1.94	20	5.09	1.95	22
119	"ad"	4.11	1.45	19	3.33	2.17	18
120	"adage"	5.55	0.83	20	3.38	1.88	21
121	"adamant"	5.45	1.92	22	5.74	2.4	19
122	"adapt"	5.84	1.3	19	3.9	2.36	20
123	"adaptation"	5.82	1.84	22	3.55	1.92	22
124	"add"	6.23	1.77	22	4	2.38	20
125	"adder"	4.45	1.47	20	3.24	2.36	17
126	"addict"	2.86	1.93	21	5.33	2.44	45
127	"addicted"	2.89	2.11	19	4.77	2.33	22
128	"addiction"	3.52	1.81	21	4.48	2.87	23
129	"addictive"	3.52	1.72	21	4.82	2.7	22
130	"additional"	6.15	1.76	20	3.61	2.17	18
131	"address"	6.11	1.64	18	3.05	2.06	20
132	"adept"	6.14	1.56	21	4.17	2.35	23
133	"adequate"	4.7	1.56	20	3.64	2.13	22
134	"adhere"	5.17	2.12	18	3.52	2.18	21
135	"adhesive"	5.84	1.5	19	3.2	1.99	20
136	"Adidas"	5.77	1.38	22	4.18	2.74	22
137	"adjacent"	5.15	1.27	20	2.78	1.96	18
138	"adjective"	5.95	1.28	21	3.64	2.1	25
139	"adjoining"	5.06	1.26	18	3.52	2.04	21
140	"adjourn"	5.5	1.62	18	3.15	1.93	20
141	"adjust"	5.76	1.67	21	3	2.07	23
142	"adjuster"	4.25	1.41	20	3.5	1.74	22
143	"adjustment"	5.53	1.22	19	4.59	2.36	22
144	"admin"	4.37	1.71	19	3.64	2.5	22
145	"administer"	4.4	1.79	20	3.86	2.23	22
146	"administration"	4.45	1.36	20	3.23	2	22
147	"administrative"	4.79	1.62	19	3.21	2.2	19
148	"administrator"	5.32	1.59	22	4.74	2.35	19
149	"admirable"	7	1.97	21	4.57	2.63	23
150	"admiral"	4.8	1.32	20	4.05	2.44	21
151	"admiralty"	6.16	2.12	19	4.27	2.33	22
152	"admiration"	7.58	1.98	19	5.52	2.19	23
153	"admire"	7.35	1.27	20	5	2.27	22
154	"admired"	7.25	1.37	20	5.95	2.16	21
155	"admirer"	7.05	1.43	21	6	2.25	22
156	"admissible"	5.16	1.61	19	2.9	1.71	20
157	"admission"	5.91	1.34	22	3.69	2.02	26
158	"admit"	5.56	1.79	18	3.35	2.43	20
